parcel_id,date,ndvi_value,temperature_c,rainfall_mm,sensor_status,sensor_ok,mill_id,crop_type,sowing_date,area_hectares
PARCEL_005,2026-02-28,0.239,27.4,0.0,OK,True,MILL_NORTH,soybean,2026-02-08,2.79
PARCEL_025,2026-03-24,0.705,22.7,0.0,OK,True,MILL_WEST,sugarcane,2026-02-07,3.02
PARCEL_025,2026-02-23,0.493,23.8,0.0,OK,True,MILL_WEST,sugarcane,2026-02-07,3.02
PARCEL_023,2026-05-19,0.552,24.5,0.0,OK,True,MILL_WEST,sugarcane,2026-01-26,3.55
PARCEL_009,2026-04-18,0.731,24.9,7.2,OK,True,MILL_EAST,sugarcane,2026-02-18,1.57
PARCEL_019,2026-05-12,0.735,24.1,0.0,ERROR,False,MILL_SOUTH,sugarcane,2026-01-18,10.19
PARCEL_009,2026-02-11,0.211,33.2,0.0,OK,True,MILL_EAST,sugarcane,2026-02-18,1.57
PARCEL_021,2026-04-26,0.429,15.9,0.0,OK,True,MILL_EAST,wheat,2026-02-21,3.58
PARCEL_007,2026-04-09,0.696,25.6,0.0,OK,True,MILL_NORTH,sugarcane,2026-01-18,8.53
PARCEL_023,2026-03-06,0.562,33.2,0.0,OK,True,MILL_WEST,sugarcane,2026-01-26,3.55
PARCEL_019,2026-05-26,0.354,28.1,0.0,OK,True,MILL_SOUTH,sugarcane,2026-01-18,10.19
PARCEL_019,2026-03-06,0.695,27.7,0.0,OK,True,MILL_SOUTH,sugarcane,2026-01-18,10.19
PARCEL_012,2026-02-26,0.281,23.5,0.0,OK,True,MILL_WEST,sugarcane,2026-03-01,6.85
PARCEL_015,2026-03-26,0.545,17.6,0.0,OK,True,MILL_SOUTH,sugarcane,2026-01-06,4.87
PARCEL_023,2026-02-06,0.4,34.6,4.4,OK,True,MILL_WEST,sugarcane,2026-01-26,3.55
PARCEL_005,2026-03-13,0.564,21.3,7.9,OK,True,MILL_NORTH,soybean,2026-02-08,2.79
PARCEL_003,2026-05-27,0.661,34.0,0.0,OK,True,MILL_NORTH,soybean,2026-02-13,5.35
PARCEL_017,2026-01-14,0.277,31.3,4.5,OK,True,MILL_EAST,sugarcane,2026-01-14,7.51
PARCEL_014,2026-05-22,0.439,19.4,0.0,OK,True,MILL_NORTH,sugarcane,2026-01-05,9.39
PARCEL_025,2026-05-20,0.622,30.4,0.0,OK,True,MILL_WEST,sugarcane,2026-02-07,3.02
PARCEL_004,2026-01-22,0.379,33.5,0.0,OK,True,MILL_NORTH,sugarcane,2026-01-02,3.18
PARCEL_018,2026-02-07,0.298,33.8,0.0,OK,True,MILL_SOUTH,sugarcane,2026-01-11,5.82
PARCEL_004,2026-05-31,0.589,23.8,0.0,OK,True,MILL_NORTH,sugarcane,2026-01-02,3.18
PARCEL_011,2026-05-04,0.641,17.9,0.0,OK,True,MILL_NORTH,wheat,2026-02-21,6.67
PARCEL_024,2026-03-02,0.604,22.3,0.0,OK,True,MILL_EAST,soybean,2026-01-16,5.43
PARCEL_015,2026-05-25,0.543,35.2,0.0,OK,True,MILL_SOUTH,sugarcane,2026-01-06,4.87
PARCEL_022,2026-01-23,0.248,18.5,0.0,OK,True,MILL_EAST,sugarcane,2026-01-14,8.04
PARCEL_023,2026-03-31,0.525,23.8,0.0,OK,True,MILL_WEST,sugarcane,2026-01-26,3.55
PARCEL_006,2026-04-17,0.778,30.0,0.0,OK,True,MILL_WEST,sugarcane,2026-02-11,5.67
PARCEL_005,2026-01-24,0.205,26.4,0.0,OK,True,MILL_NORTH,soybean,2026-02-08,2.79
PARCEL_021,2026-02-06,0.092,26.7,0.0,OK,True,MILL_EAST,wheat,2026-02-21,3.58
PARCEL_025,2026-02-05,0.223,22.2,0.0,OK,True,MILL_WEST,sugarcane,2026-02-07,3.02
PARCEL_013,2026-05-08,0.426,18.2,0.0,OK,True,MILL_EAST,soybean,2026-02-23,2.71
PARCEL_024,2026-01-12,0.312,16.5,0.0,OK,True,MILL_EAST,soybean,2026-01-16,5.43
PARCEL_021,2026-01-25,0.136,32.1,0.0,OK,True,MILL_EAST,wheat,2026-02-21,3.58
PARCEL_020,2026-05-18,0.508,25.0,0.0,OK,True,MILL_NORTH,sugarcane,2026-02-19,9.95
PARCEL_004,2026-02-21,0.786,23.6,10.0,OK,True,MILL_NORTH,sugarcane,2026-01-02,3.18
PARCEL_001,2026-02-15,0.347,31.4,0.0,BAD_SENSOR,False,MILL_NORTH,sugarcane,2026-02-10,9.03
PARCEL_001,2026-01-13,0.185,32.3,0.0,OK,True,MILL_NORTH,sugarcane,2026-02-10,9.03
PARCEL_010,2026-04-13,0.615,20.8,0.0,OK,True,MILL_EAST,sugarcane,2026-01-07,7.44
PARCEL_005,2026-01-10,0.131,29.9,0.0,OK,True,MILL_NORTH,soybean,2026-02-08,2.79
PARCEL_012,2026-03-31,0.73,16.8,3.0,OK,True,MILL_WEST,sugarcane,2026-03-01,6.85
PARCEL_013,2026-04-29,0.561,23.3,4.0,OK,True,MILL_EAST,soybean,2026-02-23,2.71
PARCEL_010,2026-02-01,0.208,18.1,0.0,OK,True,MILL_EAST,sugarcane,2026-01-07,7.44
PARCEL_019,2026-01-01,0.187,17.9,0.0,OK,True,MILL_SOUTH,sugarcane,2026-01-18,10.19
PARCEL_007,2026-02-20,0.576,25.8,0.9,OK,True,MILL_NORTH,sugarcane,2026-01-18,8.53
PARCEL_005,2026-03-18,0.604,18.4,0.0,OK,True,MILL_NORTH,soybean,2026-02-08,2.79
PARCEL_025,2026-01-23,0.226,27.6,0.0,OK,True,MILL_WEST,sugarcane,2026-02-07,3.02
PARCEL_010,2026-03-19,0.635,29.9,0.0,OK,True,MILL_EAST,sugarcane,2026-01-07,7.44
PARCEL_020,2026-02-06,0.249,24.5,0.0,OK,True,MILL_NORTH,sugarcane,2026-02-19,9.95
PARCEL_013,2026-04-13,0.498,20.0,0.0,OK,True,MILL_EAST,soybean,2026-02-23,2.71
PARCEL_008,2026-01-14,0.158,29.8,4.8,OK,True,MILL_EAST,sugarcane,2026-01-22,2.98
PARCEL_020,2026-04-09,0.569,32.9,0.0,OK,True,MILL_NORTH,sugarcane,2026-02-19,9.95
PARCEL_023,2026-04-09,0.822,28.3,0.0,OK,True,MILL_WEST,sugarcane,2026-01-26,3.55
PARCEL_025,2026-02-22,0.458,35.1,0.0,OK,True,MILL_WEST,sugarcane,2026-02-07,3.02
PARCEL_023,2026-02-25,0.888,29.6,0.0,OK,True,MILL_WEST,sugarcane,2026-01-26,3.55
PARCEL_011,2026-03-27,0.682,20.5,0.0,OK,True,MILL_NORTH,wheat,2026-02-21,6.67
PARCEL_008,2026-01-09,0.129,26.0,3.4,OK,True,MILL_EAST,sugarcane,2026-01-22,2.98
PARCEL_006,2026-01-30,0.035,23.1,0.0,OK,True,MILL_WEST,sugarcane,2026-02-11,5.67
PARCEL_024,2026-04-20,0.526,29.7,0.0,OK,True,MILL_EAST,soybean,2026-01-16,5.43
PARCEL_010,2026-04-11,0.543,33.6,0.0,OK,True,MILL_EAST,sugarcane,2026-01-07,7.44
PARCEL_009,2026-05-15,0.83,28.5,0.0,OK,True,MILL_EAST,sugarcane,2026-02-18,1.57
PARCEL_008,2026-05-11,0.462,19.3,0.0,OK,True,MILL_EAST,sugarcane,2026-01-22,2.98
PARCEL_016,2026-05-22,0.691,20.9,0.0,OK,True,MILL_EAST,sugarcane,2026-01-30,4.76
PARCEL_011,2026-05-10,0.853,32.3,0.0,OK,True,MILL_NORTH,wheat,2026-02-21,6.67
PARCEL_005,2026-02-27,0.401,17.7,0.0,OK,True,MILL_NORTH,soybean,2026-02-08,2.79
PARCEL_010,2026-01-15,0.375,17.0,0.0,OK,True,MILL_EAST,sugarcane,2026-01-07,7.44
PARCEL_009,2026-05-02,0.678,34.1,0.0,OK,True,MILL_EAST,sugarcane,2026-02-18,1.57
PARCEL_010,2026-05-24,0.547,24.7,0.0,OK,True,MILL_EAST,sugarcane,2026-01-07,7.44
PARCEL_018,2026-04-29,0.446,22.0,0.0,OK,True,MILL_SOUTH,sugarcane,2026-01-11,5.82
PARCEL_025,2026-04-04,0.802,29.3,1.8,OK,True,MILL_WEST,sugarcane,2026-02-07,3.02
PARCEL_010,2026-01-22,0.339,34.0,0.0,OK,True,MILL_EAST,sugarcane,2026-01-07,7.44
PARCEL_018,2026-02-24,0.813,33.3,0.0,OK,True,MILL_SOUTH,sugarcane,2026-01-11,5.82
PARCEL_010,2026-05-05,0.659,16.9,0.0,OK,True,MILL_EAST,sugarcane,2026-01-07,7.44
PARCEL_011,2026-04-17,0.533,22.4,0.0,OK,True,MILL_NORTH,wheat,2026-02-21,6.67
PARCEL_019,2026-01-27,0.182,26.7,0.0,ERROR,False,MILL_SOUTH,sugarcane,2026-01-18,10.19
PARCEL_011,2026-02-17,0.094,18.1,0.0,OK,True,MILL_NORTH,wheat,2026-02-21,6.67
PARCEL_010,2026-01-24,0.449,22.2,0.0,OK,True,MILL_EAST,sugarcane,2026-01-07,7.44
PARCEL_002,2026-05-22,0.528,22.3,0.0,OK,True,MILL_SOUTH,sugarcane,2026-01-16,8.97
PARCEL_019,2026-03-25,0.58,15.5,0.0,OK,True,MILL_SOUTH,sugarcane,2026-01-18,10.19
PARCEL_009,2026-03-17,0.226,33.4,0.0,OK,True,MILL_EAST,sugarcane,2026-02-18,1.57
PARCEL_006,2026-04-09,0.79,25.3,0.0,OK,True,MILL_WEST,sugarcane,2026-02-11,5.67
PARCEL_017,2026-01-21,0.246,30.1,0.0,OK,True,MILL_EAST,sugarcane,2026-01-14,7.51
PARCEL_021,2026-05-03,0.525,26.6,0.0,OK,True,MILL_EAST,wheat,2026-02-21,3.58
PARCEL_014,2026-02-01,0.253,20.0,0.0,OK,True,MILL_NORTH,sugarcane,2026-01-05,9.39
PARCEL_007,2026-02-26,0.753,30.8,0.0,OK,True,MILL_NORTH,sugarcane,2026-01-18,8.53
PARCEL_008,2026-01-28,0.262,22.3,0.3,OK,True,MILL_EAST,sugarcane,2026-01-22,2.98
PARCEL_016,2026-01-18,0.085,25.7,0.0,OK,True,MILL_EAST,sugarcane,2026-01-30,4.76
PARCEL_019,2026-05-17,0.533,33.6,2.3,OK,True,MILL_SOUTH,sugarcane,2026-01-18,10.19
PARCEL_009,2026-01-22,0.195,18.1,1.6,OK,True,MILL_EAST,sugarcane,2026-02-18,1.57
PARCEL_023,2026-02-09,0.48,28.7,7.9,OK,True,MILL_WEST,sugarcane,2026-01-26,3.55
PARCEL_015,2026-04-26,0.615,34.0,0.0,ERROR,False,MILL_SOUTH,sugarcane,2026-01-06,4.87
PARCEL_008,2026-03-19,0.799,20.0,0.0,OK,True,MILL_EAST,sugarcane,2026-01-22,2.98
PARCEL_003,2026-05-11,0.536,16.7,0.0,OK,True,MILL_NORTH,soybean,2026-02-13,5.35
PARCEL_007,2026-04-07,0.663,21.2,0.0,OK,True,MILL_NORTH,sugarcane,2026-01-18,8.53
PARCEL_009,2026-01-25,0.172,34.7,0.0,OK,True,MILL_EAST,sugarcane,2026-02-18,1.57
PARCEL_009,2026-05-30,0.545,27.8,0.0,OK,True,MILL_EAST,sugarcane,2026-02-18,1.57
PARCEL_004,2026-01-31,0.342,32.2,0.0,OK,True,MILL_NORTH,sugarcane,2026-01-02,3.18
PARCEL_019,2026-04-07,0.887,15.6,0.0,OK,True,MILL_SOUTH,sugarcane,2026-01-18,10.19
PARCEL_006,2026-04-27,0.715,25.6,0.0,OK,True,MILL_WEST,sugarcane,2026-02-11,5.67
PARCEL_007,2026-05-22,0.647,23.9,0.0,OK,True,MILL_NORTH,sugarcane,2026-01-18,8.53
PARCEL_016,2026-01-10,0.196,28.5,0.0,OK,True,MILL_EAST,sugarcane,2026-01-30,4.76
PARCEL_017,2026-04-01,0.57,23.8,0.0,OK,True,MILL_EAST,sugarcane,2026-01-14,7.51
PARCEL_019,2026-05-09,0.69,34.8,0.0,BAD_SENSOR,False,MILL_SOUTH,sugarcane,2026-01-18,10.19
PARCEL_013,2026-02-23,0.187,18.4,0.0,OK,True,MILL_EAST,soybean,2026-02-23,2.71
PARCEL_018,2026-01-02,0.144,33.4,0.0,OK,True,MILL_SOUTH,sugarcane,2026-01-11,5.82
PARCEL_002,2026-03-23,0.603,17.3,0.0,OK,True,MILL_SOUTH,sugarcane,2026-01-16,8.97
PARCEL_008,2026-02-08,0.228,25.5,0.0,OK,True,MILL_EAST,sugarcane,2026-01-22,2.98
PARCEL_017,2026-01-13,0.141,35.0,0.0,OK,True,MILL_EAST,sugarcane,2026-01-14,7.51
PARCEL_022,2026-01-30,0.24,27.8,5.1,OK,True,MILL_EAST,sugarcane,2026-01-14,8.04
PARCEL_016,2026-05-13,0.569,23.8,0.0,OK,True,MILL_EAST,sugarcane,2026-01-30,4.76
PARCEL_011,2026-03-08,0.351,27.7,0.0,OK,True,MILL_NORTH,wheat,2026-02-21,6.67
PARCEL_011,2026-05-02,0.524,31.8,0.0,OK,True,MILL_NORTH,wheat,2026-02-21,6.67
PARCEL_009,2026-02-16,0.272,23.2,0.0,OK,True,MILL_EAST,sugarcane,2026-02-18,1.57
PARCEL_004,2026-04-27,0.495,34.1,1.1,OK,True,MILL_NORTH,sugarcane,2026-01-02,3.18
PARCEL_012,2026-05-28,0.64,30.7,0.0,OK,True,MILL_WEST,sugarcane,2026-03-01,6.85
PARCEL_014,2026-02-28,0.838,31.0,11.2,OK,True,MILL_NORTH,sugarcane,2026-01-05,9.39
PARCEL_014,2026-04-07,0.565,20.7,0.0,OK,True,MILL_NORTH,sugarcane,2026-01-05,9.39
PARCEL_015,2026-02-08,0.616,26.7,3.5,OK,True,MILL_SOUTH,sugarcane,2026-01-06,4.87
PARCEL_005,2026-04-28,0.413,18.3,0.0,OK,True,MILL_NORTH,soybean,2026-02-08,2.79
PARCEL_023,2026-03-19,0.695,32.3,0.0,OK,True,MILL_WEST,sugarcane,2026-01-26,3.55
PARCEL_008,2026-04-20,0.755,27.0,0.0,OK,True,MILL_EAST,sugarcane,2026-01-22,2.98
PARCEL_011,2026-02-28,0.419,32.3,0.0,OK,True,MILL_NORTH,wheat,2026-02-21,6.67
PARCEL_018,2026-03-05,0.725,19.9,0.0,ERROR,False,MILL_SOUTH,sugarcane,2026-01-11,5.82
PARCEL_014,2026-05-11,0.585,24.9,0.0,OK,True,MILL_NORTH,sugarcane,2026-01-05,9.39
PARCEL_002,2026-03-15,0.787,19.0,0.0,ERROR,False,MILL_SOUTH,sugarcane,2026-01-16,8.97
PARCEL_009,2026-03-10,0.242,25.4,0.0,OK,True,MILL_EAST,sugarcane,2026-02-18,1.57
PARCEL_013,2026-03-31,0.707,16.0,6.3,OK,True,MILL_EAST,soybean,2026-02-23,2.71
PARCEL_010,2026-02-17,0.556,29.0,0.0,OK,True,MILL_EAST,sugarcane,2026-01-07,7.44
PARCEL_013,2026-01-23,0.224,28.1,0.0,BAD_SENSOR,False,MILL_EAST,soybean,2026-02-23,2.71
PARCEL_009,2026-03-20,0.569,30.0,0.0,OK,True,MILL_EAST,sugarcane,2026-02-18,1.57
PARCEL_002,2026-03-08,0.543,22.1,0.0,OK,True,MILL_SOUTH,sugarcane,2026-01-16,8.97
PARCEL_002,2026-04-14,0.734,24.7,0.0,OK,True,MILL_SOUTH,sugarcane,2026-01-16,8.97
PARCEL_003,2026-02-22,0.386,32.0,0.0,OK,True,MILL_NORTH,soybean,2026-02-13,5.35
PARCEL_015,2026-04-04,0.767,29.5,0.0,OK,True,MILL_SOUTH,sugarcane,2026-01-06,4.87
PARCEL_006,2026-02-19,0.3,27.9,0.0,OK,True,MILL_WEST,sugarcane,2026-02-11,5.67
PARCEL_004,2026-02-28,0.587,30.9,1.4,BAD_SENSOR,False,MILL_NORTH,sugarcane,2026-01-02,3.18
PARCEL_010,2026-02-05,0.212,22.8,0.0,OK,True,MILL_EAST,sugarcane,2026-01-07,7.44
PARCEL_004,2026-03-05,0.609,16.9,3.0,BAD_SENSOR,False,MILL_NORTH,sugarcane,2026-01-02,3.18
PARCEL_012,2026-05-08,0.648,28.6,0.0,OK,True,MILL_WEST,sugarcane,2026-03-01,6.85
PARCEL_005,2026-04-18,0.411,28.5,0.0,OK,True,MILL_NORTH,soybean,2026-02-08,2.79
PARCEL_015,2026-04-22,0.589,35.1,2.0,ERROR,False,MILL_SOUTH,sugarcane,2026-01-06,4.87
PARCEL_008,2026-01-31,0.252,23.1,0.0,OK,True,MILL_EAST,sugarcane,2026-01-22,2.98
PARCEL_006,2026-01-31,0.215,32.0,0.0,OK,True,MILL_WEST,sugarcane,2026-02-11,5.67
PARCEL_011,2026-02-06,0.166,33.1,0.0,OK,True,MILL_NORTH,wheat,2026-02-21,6.67
PARCEL_012,2026-01-15,0.038,16.6,0.0,OK,True,MILL_WEST,sugarcane,2026-03-01,6.85
PARCEL_021,2026-03-30,0.71,17.1,0.0,OK,True,MILL_EAST,wheat,2026-02-21,3.58
PARCEL_007,2026-04-01,0.764,23.0,1.0,OK,True,MILL_NORTH,sugarcane,2026-01-18,8.53
PARCEL_018,2026-01-22,0.35,32.5,0.0,OK,True,MILL_SOUTH,sugarcane,2026-01-11,5.82
PARCEL_012,2026-01-03,0.118,15.5,0.0,OK,True,MILL_WEST,sugarcane,2026-03-01,6.85
PARCEL_015,2026-04-23,0.436,33.4,0.0,OK,True,MILL_SOUTH,sugarcane,2026-01-06,4.87
PARCEL_022,2026-04-25,0.575,32.2,1.6,OK,True,MILL_EAST,sugarcane,2026-01-14,8.04
PARCEL_015,2026-05-06,0.49,18.1,0.0,OK,True,MILL_SOUTH,sugarcane,2026-01-06,4.87
PARCEL_014,2026-04-14,0.503,27.8,0.0,OK,True,MILL_NORTH,sugarcane,2026-01-05,9.39
PARCEL_017,2026-01-24,0.288,28.2,0.0,OK,True,MILL_EAST,sugarcane,2026-01-14,7.51
PARCEL_005,2026-01-02,0.168,26.3,6.5,OK,True,MILL_NORTH,soybean,2026-02-08,2.79
PARCEL_023,2026-05-21,0.657,25.2,0.0,OK,True,MILL_WEST,sugarcane,2026-01-26,3.55
PARCEL_007,2026-04-19,0.637,27.2,0.0,OK,True,MILL_NORTH,sugarcane,2026-01-18,8.53
PARCEL_002,2026-02-05,0.43,32.3,0.0,OK,True,MILL_SOUTH,sugarcane,2026-01-16,8.97
PARCEL_019,2026-01-16,0.201,26.9,0.0,OK,True,MILL_SOUTH,sugarcane,2026-01-18,10.19
PARCEL_023,2026-03-16,0.655,17.0,0.0,OK,True,MILL_WEST,sugarcane,2026-01-26,3.55
PARCEL_010,2026-04-15,0.57,17.4,0.0,OK,True,MILL_EAST,sugarcane,2026-01-07,7.44
PARCEL_023,2026-05-15,0.463,28.7,0.2,OK,True,MILL_WEST,sugarcane,2026-01-26,3.55
PARCEL_024,2026-01-29,0.454,31.7,0.0,OK,True,MILL_EAST,soybean,2026-01-16,5.43
PARCEL_021,2026-05-09,0.675,32.0,0.0,OK,True,MILL_EAST,wheat,2026-02-21,3.58
PARCEL_011,2026-05-27,0.462,32.6,0.0,OK,True,MILL_NORTH,wheat,2026-02-21,6.67
PARCEL_023,2026-04-28,0.421,30.8,1.5,OK,True,MILL_WEST,sugarcane,2026-01-26,3.55
PARCEL_022,2026-03-23,0.62,26.9,0.0,OK,True,MILL_EAST,sugarcane,2026-01-14,8.04
PARCEL_005,2026-04-23,0.5,29.2,0.0,OK,True,MILL_NORTH,soybean,2026-02-08,2.79
PARCEL_023,2026-03-05,0.696,23.7,0.0,OK,True,MILL_WEST,sugarcane,2026-01-26,3.55
PARCEL_025,2026-05-01,0.692,28.7,2.0,OK,True,MILL_WEST,sugarcane,2026-02-07,3.02
PARCEL_009,2026-03-25,0.793,23.3,0.0,OK,True,MILL_EAST,sugarcane,2026-02-18,1.57
