parcel_id,date,ndvi_value,temperature_c,rainfall_mm,sensor_status
PARCEL_007,17/05/2026,0.71,30.9,0.0,OK
PARCEL_023,2026-02-16,0.245,35.1,2.2,OK
PARCEL_010,25-Jan-2026,0.23,17.0,0.0,OK
PARCEL_021,2026-02-05,0.229,33.7,0.0,OK
PARCEL_002,20/03/2026,0.757,30.6,0.0,OK
PARCEL_018,16/02/2026,0.72,16.4,0.0,OK
PARCEL_023,2026-02-14,0.421,34.4,0.0,OK
PARCEL_009,2026-02-28,0.276,19.3,0.0,OK
PARCEL_015,2026-02-20,0.707,23.3,5.0,OK
PARCEL_016,2026-01-15,0.184,34.9,1.6,OK
PARCEL_015,2026-02-13,0.802,16.3,0.0,OK
PARCEL_015,2026-05-13,0.661,33.2,0.0,OK
PARCEL_012,07/01/2026,0.153,20.4,0.0,OK
PARCEL_018,19/02/2026,0.672,24.9,0.0,OK
PARCEL_009,2026-01-14,0.138,22.5,5.7,OK
PARCEL_019,2026-01-30,0.335,24.7,0.0,OK
PARCEL_001,2026-05-15,0.448,16.4,0.0,OK
PARCEL_015,11-Mar-2026,0.728,28.7,0.0,OK
PARCEL_005,2026-05-15,0.666,21.8,0.0,OK
PARCEL_005,17/01/2026,0.094,33.4,0.0,OK
PARCEL_008,21-May-2026,0.639,24.7,0.0,OK
PARCEL_006,2026-04-22,0.597,23.3,0.0,OK
PARCEL_020,2026-03-23,0.589,33.6,0.0,OK
PARCEL_002,2026-04-21,0.784,28.5,8.0,OK
PARCEL_023,2026-02-17,0.392,15.6,0.0,OK
PARCEL_011,2026-04-01,0.586,24.8,0.0,OK
PARCEL_004,2026-02-02,0.734,17.9,0.0,OK
PARCEL_002,2026-04-01,0.682,30.6,0.0,OK
PARCEL_005,2026-02-28,0.239,27.4,0.0,OK
PARCEL_025,2026-03-24,0.705,22.7,0.0,OK
PARCEL_001,2026-01-22,1.817,29.3,0.0,Error
PARCEL_025,2026-02-23,0.493,23.8,0.0,OK
PARCEL_023,2026-05-19,0.552,24.5,0.0,OK
PARCEL_098,2026-01-02,0.038,19.6,4.1,ok
PARCEL_009,2026-04-18,0.731,24.9,7.2,OK
PARCEL_019,2026-05-12,0.735,24.1,0.0,error
PARCEL_009,11/02/2026,0.211,33.2,0.0,OK
PARCEL_021,26-Apr-2026,0.429,15.9,0.0,OK
PARCEL_007,09/04/2026,0.696,25.6,0.0,OK
PARCEL_023,2026-03-06,0.562,33.2,0.0,OK
PARCEL_019,26/05/2026,0.354,28.1,0.0,OK
PARCEL_019,06/03/2026,0.695,27.7,0.0,OK
PARCEL_012,2026-02-26,0.281,23.5,0.0,OK
PARCEL_015,26/03/2026,0.545,17.6,0.0,OK
PARCEL_023,2026-02-06,0.4,34.6,4.4,OK
PARCEL_005,2026-03-13,0.564,21.3,7.9,OK
PARCEL_003,2026-05-27,0.661,34.0,0.0,OK
PARCEL_017,2026-01-14,0.277,31.3,4.5,OK
PARCEL_014,2026-05-22,0.439,19.4,0.0,OK
PARCEL_025,20/05/2026,0.622,30.4,0.0,OK
PARCEL_004,22-Jan-2026,0.379,33.5,0.0,OK
PARCEL_018,2026-02-07,0.298,33.8,0.0,OK
PARCEL_004,2026-05-31,0.589,23.8,0.0,OK
PARCEL_011,04/05/2026,0.641,17.9,0.0,OK
PARCEL_024,02/03/2026,0.604,22.3,0.0,OK
PARCEL_015,2026-05-25,0.543,35.2,0.0,OK
PARCEL_022,2026-01-23,0.248,18.5,0.0,OK
PARCEL_023,31/03/2026,0.525,23.8,0.0,OK
PARCEL_006,2026-04-17,0.778,30.0,0.0,OK
PARCEL_005,2026-01-24,0.205,26.4,0.0,OK
PARCEL_021,06/02/2026,0.092,26.7,0.0,OK
PARCEL_025,2026-02-05,0.223,22.2,0.0,OK
PARCEL_013,2026-05-08,0.426,18.2,0.0,OK
PARCEL_024,12/01/2026,0.312,16.5,0.0,OK
PARCEL_021,25/01/2026,0.136,32.1,0.0, OK
PARCEL_020,18/05/2026,0.508,25.0,0.0,OK
PARCEL_004,2026-02-21,0.786,23.6,10.0,OK
PARCEL_001,15/02/2026,0.347,31.4,0.0,NA
PARCEL_001,13/01/2026,0.185,32.3,0.0,OK
PARCEL_010,2026-04-13,0.615,20.8,0.0,OK
PARCEL_005,10/01/2026,0.131,29.9,0.0,OK
PARCEL_013,2026-02-19,1.665,22.1,0.0,Error
PARCEL_012,31/03/2026,0.73,16.8,3.0,OK
PARCEL_013,29/04/2026,0.561,23.3,4.0,OK 
PARCEL_010,2026-02-01,0.208,18.1,0.0,OK
PARCEL_019,2026-01-01,0.187,17.9,0.0,OK
PARCEL_007,2026-02-20,0.576,25.8,0.9,OK
PARCEL_005,18-Mar-2026,0.604,18.4,0.0,OK
PARCEL_025,23-Jan-2026,0.226,27.6,0.0,OK
PARCEL_010,2026-03-19,0.635,29.9,0.0,OK
PARCEL_020,06-Feb-2026,0.249,24.5,0.0,OK
PARCEL_013,2026-04-13,0.498,20.0,0.0,OK
PARCEL_008,14/01/2026,0.158,29.8,4.8,OK
PARCEL_020,2026-04-09,0.569,32.9,0.0,OK
PARCEL_023,09/04/2026,0.822,28.3,0.0,OK
PARCEL_025,2026-02-22,0.458,35.1,0.0,OK
PARCEL_024,2026-04-19,1.626,29.2,0.0,ERROR
PARCEL_099,2026-03-26,0.654,32.9,1.7,OK
PARCEL_023,2026-02-25,0.888,29.6,0.0,OK
PARCEL_011,27/03/2026,0.682,20.5,0.0,OK
PARCEL_008,2026-01-09,0.129,26.0,3.4,OK
PARCEL_006,30-Jan-2026,0.035,23.1,0.0,OK 
PARCEL_024,2026-04-20,0.526,29.7,0.0,OK
PARCEL_010,2026-04-11,0.543,33.6,0.0,OK
PARCEL_009,2026-05-15,0.83,28.5,0.0,OK
PARCEL_008,2026-05-11,0.462,19.3,0.0,OK
PARCEL_016,22/05/2026,0.691,20.9,0.0,OK
PARCEL_011,2026-05-10,0.853,32.3,0.0,OK
PARCEL_005,2026-02-27,0.401,17.7,0.0,OK
PARCEL_010,2026-01-15,0.375,17.0,0.0,OK
PARCEL_009,2026-05-02,0.678,34.1,0.0,OK
PARCEL_010,2026-05-24,0.547,24.7,0.0,OK
PARCEL_018,2026-04-29,0.446,22.0,0.0,OK
PARCEL_025,2026-04-04,0.802,29.3,1.8,OK
PARCEL_010,2026-01-22,0.339,34.0,0.0,OK
PARCEL_018,24/02/2026,0.813,33.3,0.0,OK
PARCEL_010,2026-05-05,0.659,16.9,0.0,OK
PARCEL_011,2026-04-17,0.533,22.4,0.0,OK
PARCEL_019,2026-01-27,0.182,26.7,0.0,Error
PARCEL_015,10/05/2026,1.301,28.6,0.0,Error
PARCEL_011,17/02/2026,0.094,18.1,0.0,OK
PARCEL_010,2026-01-24,0.449,22.2,0.0,OK
PARCEL_002,22/05/2026,0.528,22.3,0.0,OK
PARCEL_019,25-Mar-2026,0.58,15.5,0.0,OK
PARCEL_009,2026-03-17,0.226,33.4,0.0,OK
PARCEL_006,2026-04-09,0.79,25.3,0.0,OK
PARCEL_017,2026-01-21,0.246,30.1,0.0,OK
PARCEL_021,2026-05-03,0.525,26.6,0.0,OK
PARCEL_001,08/01/2026,1.708,15.5,0.0,Error
PARCEL_014,01/02/2026,0.253,20.0,0.0,OK
PARCEL_007,2026-02-26,0.753,30.8,0.0,OK
PARCEL_008,2026-01-28,0.262,22.3,0.3,OK
PARCEL_016,2026-01-18,0.085,25.7,0.0,OK
PARCEL_019,2026-05-17,0.533,33.6,2.3,OK
PARCEL_009,2026-01-22,0.195,18.1,1.6,OK
PARCEL_023,2026-02-09,0.48,28.7,7.9,OK
PARCEL_015,26/04/2026,0.615,34.0,0.0,Error
PARCEL_008,2026-03-19,0.799,20.0,0.0,OK
PARCEL_003,2026-05-11,0.536,16.7,0.0,OK
PARCEL_007,07/04/2026,0.663,21.2,0.0,OK
PARCEL_009,25-Jan-2026,0.172,34.7,0.0,OK
PARCEL_009,2026-05-30,0.545,27.8,0.0,OK
PARCEL_004,31/01/2026,0.342,32.2,0.0,OK
PARCEL_019,2026-04-07,0.887,15.6,0.0,OK
PARCEL_006,27/04/2026,0.715,25.6,0.0,OK
PARCEL_007,2026-05-22,0.647,23.9,0.0,ok
PARCEL_016,2026-01-10,0.196,28.5,0.0,OK
PARCEL_017,2026-04-01,0.57,23.8,0.0,OK
PARCEL_019,09/05/2026,0.69,34.8,0.0,NaN
PARCEL_013,2026-02-23,0.187,18.4,0.0,OK
PARCEL_018,02/01/2026,0.144,33.4,0.0,OK
PARCEL_002,2026-03-23,0.603,17.3,0.0,OK
PARCEL_008,2026-02-08,0.228,25.5,0.0,OK
PARCEL_017,2026-01-13,0.141,35.0,0.0,OK
PARCEL_022,30/01/2026,0.24,27.8,5.1,OK
PARCEL_016,13/05/2026,0.569,23.8,0.0,OK
PARCEL_011,08-Mar-2026,0.351,27.7,0.0,OK
PARCEL_011,2026-05-02,0.524,31.8,0.0,OK
PARCEL_009,2026-02-16,0.272,23.2,0.0,OK
PARCEL_004,2026-04-27,0.495,34.1,1.1,OK
PARCEL_012,2026-05-28,0.64,30.7,0.0,OK
PARCEL_014,2026-02-28,0.838,31.0,11.2,OK
PARCEL_014,2026-04-07,0.565,20.7,0.0,OK
PARCEL_015,2026-02-08,0.616,26.7,3.5,OK
PARCEL_005,2026-04-28,0.413,18.3,0.0,OK
PARCEL_023,19/03/2026,0.695,32.3,0.0,OK
PARCEL_008,20/04/2026,0.755,27.0,0.0,OK
PARCEL_011,28/02/2026,0.419,32.3,0.0,OK
PARCEL_018,2026-03-05,0.725,19.9,0.0,Error
PARCEL_014,2026-05-11,0.585,24.9,0.0,OK
PARCEL_002,2026-03-15,0.787,19.0,0.0,error
PARCEL_009,2026-03-10,0.242,25.4,0.0,OK
PARCEL_013,31/03/2026,0.707,16.0,6.3,OK
PARCEL_010,2026-02-17,0.556,29.0,0.0,OK
PARCEL_013,23-Jan-2026,0.224,28.1,0.0,
PARCEL_009,2026-03-20,0.569,30.0,0.0,OK
PARCEL_002,08-Mar-2026,0.543,22.1,0.0,OK
PARCEL_002,2026-04-14,0.734,24.7,0.0,OK
PARCEL_003,2026-02-22,0.386,32.0,0.0,OK
PARCEL_015,2026-04-04,0.767,29.5,0.0,OK
PARCEL_006,2026-02-19,0.3,27.9,0.0,OK
PARCEL_004,2026-02-28,0.587,30.9,1.4,
PARCEL_010,05-Feb-2026,0.212,22.8,0.0,OK
PARCEL_004,05/03/2026,0.609,16.9,3.0,
PARCEL_012,2026-05-08,0.648,28.6,0.0,OK
PARCEL_005,18/04/2026,0.411,28.5,0.0,OK
PARCEL_015,2026-04-22,0.589,35.1,2.0,error
PARCEL_008,31-Jan-2026,0.252,23.1,0.0,OK 
PARCEL_006,2026-01-31,0.215,32.0,0.0,OK
PARCEL_011,06-Feb-2026,0.166,33.1,0.0,OK
PARCEL_012,15/01/2026,0.038,16.6,0.0,OK
PARCEL_021,2026-03-30,0.71,17.1,0.0,OK
PARCEL_007,2026-04-01,0.764,23.0,1.0,OK
PARCEL_018,2026-01-22,0.35,32.5,0.0,OK
PARCEL_012,2026-01-03,0.118,15.5,0.0,OK
PARCEL_015,23-Apr-2026,0.436,33.4,0.0,OK
PARCEL_022,25-Apr-2026,0.575,32.2,1.6,OK
PARCEL_015,2026-05-06,0.49,18.1,0.0,OK
PARCEL_014,2026-04-14,0.503,27.8,0.0,OK
PARCEL_017,2026-01-24,0.288,28.2,0.0,OK
PARCEL_005,02/01/2026,0.168,26.3,6.5,OK
PARCEL_023,2026-05-21,0.657,25.2,0.0,OK
PARCEL_007,2026-04-19,0.637,27.2,0.0,OK
PARCEL_002,2026-02-05,0.43,32.3,0.0,OK 
PARCEL_019,16-Jan-2026,0.201,26.9,0.0,OK
PARCEL_023,2026-03-16,0.655,17.0,0.0,OK
PARCEL_010,15/04/2026,0.57,17.4,0.0,OK
PARCEL_023,2026-05-15,0.463,28.7,0.2,OK
PARCEL_024,2026-01-29,0.454,31.7,0.0,OK
PARCEL_021,2026-05-09,0.675,32.0,0.0, OK
PARCEL_011,27/05/2026,0.462,32.6,0.0,OK
PARCEL_023,28/04/2026,0.421,30.8,1.5,OK
PARCEL_022,2026-03-23,0.62,26.9,0.0,OK
PARCEL_005,2026-04-23,0.5,29.2,0.0,OK
PARCEL_023,2026-03-05,0.696,23.7,0.0,OK
PARCEL_025,01/05/2026,0.692,28.7,2.0,OK
PARCEL_009,25-Mar-2026,0.793,23.3,0.0,OK
PARCEL_025,2026-01-28,0.213,28.5,6.0,OK
PARCEL_024,2026-01-07,0.188,25.6,3.0,OK
PARCEL_019,2026-01-24,0.183,24.0,3.7,OK
PARCEL_016,2026-02-22,0.439,27.9,0.0,OK
PARCEL_021,2026-01-23,0.166,18.6,0.0,OK
PARCEL_006,2026-02-23,0.468,34.1,0.0,OK
PARCEL_024,2026-05-27,0.51,29.0,0.0,ERROR
PARCEL_012,13/01/2026,0.241,20.1,0.0,OK
PARCEL_016,2026-04-04,0.773,15.9,0.0,OK
PARCEL_002,22-Apr-2026,0.695,28.4,0.0,ok
PARCEL_020,2026-03-15,0.225,31.5,0.0,OK
PARCEL_010,2026-01-07,0.288,17.1,0.0,OK
PARCEL_003,2026-01-26,0.156,25.9,0.0,OK
PARCEL_098,27/01/2026,0.181,18.9,6.0,OK
PARCEL_016,2026-05-05,0.662,18.3,0.0,OK
PARCEL_024,13-Feb-2026,0.293,22.9,0.0,OK
PARCEL_008,2026-02-04,0.277,16.9,0.0,OK
PARCEL_008,2026-04-02,0.667,28.5,0.0,OK
PARCEL_010,17-Jan-2026,0.321,16.0,0.0,OK
PARCEL_013,03/04/2026,0.478,26.7,0.0,OK
PARCEL_012,2026-01-10,0.187,19.4,0.0,OK
PARCEL_004,05-Feb-2026,0.6,28.7,0.0,OK
PARCEL_017,2026-03-17,0.573,17.4,0.0,
PARCEL_003,01/01/2026,0.149,23.8,0.0,OK
PARCEL_014,2026-02-19,0.691,28.6,0.0,OK
PARCEL_012,22/01/2026,0.041,31.9,0.0,NaN
PARCEL_017,2026-01-15,0.371,21.6,0.0,OK
PARCEL_001,15-Apr-2026,0.819,25.2,5.7,OK
PARCEL_023,2026-02-08,0.435,15.5,0.0,OK
PARCEL_013,2026-03-29,0.415,34.2,0.0,OK
PARCEL_003,2026-04-21,0.519,30.7,0.0,OK
PARCEL_006,2026-02-15,0.44,26.1,3.6,OK
PARCEL_007,2026-05-14,0.591,18.3,1.9,OK
PARCEL_024,2026-04-04,0.619,18.9,3.1,OK
PARCEL_011,14/05/2026,0.565,34.3,3.4,ok
PARCEL_014,2026-05-25,0.528,23.0,5.5,OK
PARCEL_008,08-May-2026,0.419,17.8,0.0,OK
PARCEL_023,19-Jan-2026,0.258,15.4,0.0,OK
PARCEL_010,2026-03-10,0.682,21.1,0.0,error
PARCEL_004,2026-05-17,0.662,20.7,0.0,OK
PARCEL_002,2026-05-16,0.531,15.9,2.0,OK
PARCEL_019,06/01/2026,0.192,22.8,0.0,OK 
PARCEL_005,2026-01-06,0.232,32.1,0.0,OK
PARCEL_024,2026-04-03,0.634,34.9,0.0,OK
PARCEL_009,29-Mar-2026,0.685,19.1,0.0,OK
PARCEL_024,2026-02-14,0.346,32.4,0.0,OK
PARCEL_015,12/01/2026,0.426,26.1,0.4,ERROR
PARCEL_002,2026-01-31,0.428,16.0,2.7,OK
PARCEL_014,05/01/2026,0.49,33.3,0.0,OK
PARCEL_008,29/01/2026,0.24,28.4,0.0,OK
PARCEL_025,05/05/2026,0.703,17.2,0.0,OK
PARCEL_019,2026-02-21,0.827,16.9,0.0,OK
PARCEL_010,02/05/2026,0.584,34.9,0.0,OK
PARCEL_006,2026-02-02,0.145,20.3,0.0,OK
PARCEL_025,2026-04-17,0.879,15.9,0.0,OK
PARCEL_016,2026-05-11,0.656,32.3,0.0,OK
PARCEL_016,2026-01-24,0.084,28.7,0.0,OK
PARCEL_004,2026-02-09,0.653,28.2,3.5,OK
PARCEL_022,2026-04-19,0.637,27.5,0.0,OK
PARCEL_007,2026-04-15,0.848,22.5,0.0,OK
PARCEL_021,17-May-2026,0.64,23.7,0.0,OK
PARCEL_011,2026-03-22,0.293,25.9,2.9,OK
PARCEL_021,2026-04-09,0.393,22.6,1.4,OK
PARCEL_023,2026-02-13,0.339,30.9,0.0,NA
PARCEL_002,2026-02-13,0.317,20.6,0.0,OK
PARCEL_024,2026-05-07,1.337,23.0,0.0,Error
PARCEL_021,2026-04-15,0.695,24.3,5.8,OK
PARCEL_018,2026-02-13,0.651,18.7,0.0,OK
PARCEL_022,2026-04-21,0.539,28.5,0.0,OK
PARCEL_003,21/03/2026,0.387,34.9,0.0,OK
PARCEL_023,2026-01-11,0.252,26.0,0.0,OK
PARCEL_001,2026-01-11,0.141,23.7,0.0,OK
PARCEL_016,2026-05-08,0.569,33.7,0.0,OK
PARCEL_017,2026-03-26,0.601,30.1,0.0,OK
PARCEL_098,2026-04-06,0.441,21.2,4.4,OK
PARCEL_020,13-Jan-2026,0.199,18.2,0.0,OK
PARCEL_014,2026-03-15,0.627,27.2,0.0,OK
PARCEL_019,2026-01-17,0.114,17.6,6.2,OK
PARCEL_009,2026-01-11,0.091,19.2,0.0,OK
PARCEL_013,2026-02-08,0.15,33.6,3.5,OK
PARCEL_005,2026-03-28,0.52,26.8,0.0,OK 
PARCEL_012,20-Apr-2026,-1.672,25.9,0.0,ERROR
PARCEL_009,2026-01-08,0.169,19.9,0.0,ok
PARCEL_013,07/04/2026,0.4,34.2,0.0,OK
PARCEL_009,2026-02-06,0.11,22.4,0.0,OK
PARCEL_019,2026-02-05,0.286,20.9,6.5,OK
PARCEL_025,2026-02-16,0.464,25.0,0.0,OK
PARCEL_006,2026-05-26,0.539,22.7,0.0,OK
PARCEL_008,2026-02-24,0.797,31.0,1.1,OK
PARCEL_004,18/02/2026,0.743,18.0,0.0,OK
PARCEL_004,14-Feb-2026,0.798,28.6,2.7,OK
PARCEL_007,2026-02-16,0.369,24.0,0.0,OK
PARCEL_012,2026-05-07,0.845,16.1,6.4,OK
PARCEL_021,24-Mar-2026,0.547,29.1,4.2,OK
PARCEL_013,2026-03-18,0.55,17.4,0.0,
PARCEL_017,17/01/2026,0.297,20.4,0.0,OK
PARCEL_014,2026-03-23,0.578,16.8,0.0,OK
PARCEL_099,2026-02-09,0.444,22.8,3.5,OK
PARCEL_004,2026-05-13,0.579,25.9,0.0,OK
PARCEL_017,2026-02-07,0.223,30.9,0.0,OK
PARCEL_013,2026-02-06,0.118,29.2,5.4,OK
PARCEL_014,25-Feb-2026,0.573,29.3,0.0,OK
PARCEL_014,2026-02-08,0.771,25.4,0.0,OK
PARCEL_009,2026-03-15,0.418,16.6,0.0,OK
PARCEL_006,23/01/2026,0.181,34.2,0.0,OK
PARCEL_013,2026-01-08,0.243,17.1,0.0,Error
PARCEL_013,2026-04-05,0.656,30.2,0.0,OK
PARCEL_005,15/04/2026,0.626,35.0,0.0,OK
PARCEL_024,2026-03-14,0.623,19.7,3.2,OK
PARCEL_002,2026-04-11,0.734,31.5,0.0,OK
PARCEL_025,2026-03-12,0.65,18.4,0.0,OK
PARCEL_017,2026-03-22,0.844,24.0,0.0,OK
PARCEL_019,2026-01-28,0.235,32.9,0.0,OK
PARCEL_014,2026-04-03,0.508,17.4,0.0,OK
PARCEL_020,2026-02-16,0.162,18.3,0.0,OK
PARCEL_005,2026-02-19,0.358,27.2,0.0,OK
PARCEL_018,2026-03-21,0.666,34.1,0.0,OK
PARCEL_005,2026-01-31,0.126,22.2,0.0,OK
PARCEL_022,2026-04-12,0.548,19.8,0.0,OK
PARCEL_001,2026-03-23,0.723,21.6,0.0,OK
PARCEL_009,2026-02-01,0.146,18.1,0.0,OK
PARCEL_019,2026-04-22,0.547,19.6,0.0,OK
PARCEL_019,2026-04-19,0.753,24.5,0.0,OK
PARCEL_005,27/05/2026,-1.024,18.2,0.0,error
PARCEL_001,2026-02-17,0.377,20.9,0.0,OK
PARCEL_022,2026-01-31,0.185,18.3,0.6,OK
PARCEL_013,13-Mar-2026,0.353,21.3,0.0,Error
PARCEL_010,29/01/2026,0.435,24.2,0.0,OK
PARCEL_002,2026-03-12,0.753,23.4,0.0,Error
PARCEL_022,23/02/2026,0.852,19.7,0.0,OK
PARCEL_015,2026-03-20,0.762,20.1,0.0,OK
PARCEL_017,20-May-2026,0.719,30.8,0.0,OK
PARCEL_019,2026-04-13,0.652,16.1,5.8,OK
PARCEL_001,2026-03-14,0.81,22.3,0.0,OK
PARCEL_013,2026-02-03,0.112,17.7,0.0,OK
PARCEL_001,2026-01-07,0.184,23.0,0.0,OK
PARCEL_013,2026-04-28,0.576,28.3,0.0,OK
PARCEL_014,2026-01-30,0.469,33.8,0.0,OK
PARCEL_024,2026-05-13,0.581,33.1,0.0,OK
PARCEL_017,22/01/2026,0.304,26.4,4.3,OK
PARCEL_017,03/03/2026,0.701,26.8,1.9,OK
PARCEL_008,2026-03-20,0.775,24.0,6.2,OK
PARCEL_019,2026-03-23,0.606,28.4,1.0,error
PARCEL_002,2026-05-30,0.584,30.8,0.0,OK
PARCEL_007,08-Mar-2026,0.596,24.6,0.0,OK
PARCEL_019,02/02/2026,0.254,30.5,0.0,NaN
PARCEL_004,04-Mar-2026,0.839,34.7,0.1,OK
PARCEL_001,05/05/2026,0.719,18.4,0.0,OK
PARCEL_013,2026-01-14,0.208,20.9,3.3,OK
PARCEL_006,2026-01-27,0.11,17.4,2.5,OK
PARCEL_002,2026-05-19,0.394,18.5,0.0, OK
PARCEL_025,2026-02-06,0.189,15.9,0.0,OK
PARCEL_019,03-May-2026,0.682,21.2,0.0,OK
PARCEL_005,2026-02-02,0.257,33.7,0.0,OK
PARCEL_001,2026-02-24,0.398,23.8,0.0,OK
PARCEL_008,2026-04-13,0.53,34.7,0.0,OK
PARCEL_019,07-Feb-2026,0.344,24.0,0.0,OK
PARCEL_010,2026-03-24,0.703,16.0,0.0,OK
PARCEL_023,10-Feb-2026,0.439,30.3,0.0,OK
PARCEL_018,24/01/2026,0.407,28.6,0.0,Error
PARCEL_012,27/03/2026,0.17,29.4,10.1,OK
PARCEL_003,2026-05-28,0.541,34.9,0.0,
PARCEL_022,2026-03-11,0.577,28.3,0.0,OK
PARCEL_012,2026-05-26,0.633,31.2,0.0,OK
PARCEL_004,21-Jan-2026,0.304,17.9,0.0,OK
PARCEL_004,2026-03-16,0.648,23.5,0.0,OK
PARCEL_016,08-Jan-2026,0.265,24.6,0.0,OK
PARCEL_025,06/01/2026,0.083,33.8,0.0,OK
PARCEL_025,2026-03-02,0.336,23.0,0.0,OK
PARCEL_005,2026-04-11,0.519,26.0,0.0,
PARCEL_024,21/05/2026,0.354,16.8,0.0,OK
PARCEL_004,15/04/2026,0.638,20.6,0.0,OK
PARCEL_003,2026-02-13,0.347,22.8,0.0,OK
PARCEL_021,2026-04-21,0.695,31.1,7.0,OK
PARCEL_015,24-May-2026,0.613,18.4,0.0,OK 
PARCEL_007,2026-01-13,0.157,27.1,0.0,OK
PARCEL_018,2026-05-03,0.565,27.3,0.0,OK
PARCEL_006,2026-02-05,0.222,22.9,0.0,OK
PARCEL_025,2026-05-30,0.477,30.2,0.0,OK
PARCEL_023,2026-04-27,0.608,23.9,0.0,Error
PARCEL_005,2026-05-19,0.51,20.9,0.0,OK
PARCEL_099,01/02/2026,0.299,20.7,0.0,OK
PARCEL_001,2026-04-18,0.74,32.2,0.0,OK
PARCEL_012,2026-01-27,0.185,24.2,0.0,OK
PARCEL_013,09/04/2026,0.599,30.7,0.0,OK
PARCEL_003,03-Jan-2026,0.099,29.1,1.1,OK
PARCEL_003,2026-03-31,0.436,31.4,0.0,OK
PARCEL_020,2026-05-22,0.565,15.4,0.0,OK
PARCEL_024,2026-01-24,0.265,21.3,0.0,OK
PARCEL_009,2026-01-28,0.289,26.6,0.0,OK
PARCEL_003,2026-02-23,0.484,23.3,1.0,OK
PARCEL_002,23/02/2026,0.684,29.7,0.0,OK
PARCEL_002,16-Mar-2026,0.633,20.4,4.7,OK
PARCEL_024,2026-01-18,0.354,25.5,0.0, OK
PARCEL_011,2026-05-24,1.261,31.3,3.1,Error
PARCEL_012,2026-05-04,0.817,20.1,0.0,OK
PARCEL_009,20/05/2026,1.743,25.4,0.0,Error
PARCEL_003,19/02/2026,1.83,30.3,0.0,Error
PARCEL_020,2026-04-30,0.834,25.8,0.0,OK
PARCEL_010,2026-02-19,0.663,30.8,0.0,OK
PARCEL_014,2026-04-05,0.615,33.6,1.4,NaN
PARCEL_016,08/03/2026,0.77,18.6,0.0,OK
PARCEL_021,2026-03-10,0.117,21.6,0.0,OK
PARCEL_005,03-Apr-2026,0.502,29.5,0.0,OK
PARCEL_025,2026-05-27,0.559,20.4,8.3,NaN
PARCEL_020,06/03/2026,0.302,26.6,0.0,OK
PARCEL_022,2026-03-31,0.657,35.1,0.0,OK
PARCEL_009,2026-01-19,0.239,24.7,0.0, OK
PARCEL_014,04/04/2026,0.587,28.5,6.6,OK
PARCEL_018,2026-03-23,0.776,27.2,0.4,OK
PARCEL_025,02/04/2026,0.576,24.3,0.0,OK
PARCEL_001,04/03/2026,0.265,28.5,0.0,NaN
